(Brazzaville) ;;Country;Subject Descriptor;Units;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;Saudi Arabia;Population;Persons;9,32;9,786;10,276;10,79;11,33;11,897;12,492;13,118;13,774;14,463;15,187;15,947;16,948;17,277;17,701;18,136;18,581;19,037;19,504;19,983;20,474;20,976;21,491;22,02;22,564;23,33;24,122;24,941;25,787;26,661;27,563;28,376;29,196;29,994;30,77;31,386;32,013;32,654;33,307;33,973;34,652
;;Senegal;Gross domestic product, constant prices;Percent change;-0,827;5,07;7,843;-5,326;3,746;3,283;3,113;6,094;-0,592;3,978;-0,676;2,556;1,243;1,301;-0,017;5,363;2,012;3,124;5,899;6,347;3,199;4,581;0,655;6,683;5,871;5,613;2,47;4,938;3,682;2,423;4,18;1,761;4,363;3,622;4,724;5,106;5,935;6,548;6,985;7,294;7,273
;;Senegal;Population;Persons;5,649;5,803;5,967;6,14;6,322;6,513;6,711;6,918;7,131;7,347;7,562;7,777;7,991;8,235;8,476;8,712;8,94;9,164;9,388;9,619;9,862;10,119;10,39;10,674;10,968;11,271;11,583;11,905;12,239;12,587;12,951;13,331;13,722;14,125;14,54;14,966;15,406;15,858;16,323;16,803;17,296
;;Serbia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-12,147;7,759;4,993;7,116;4,415;9,047;5,54;4,904;5,889;5,367;-3,116;0,584;1,401;-1,015;2,572;-1,813;0,5;1,5;2;3,5;3,5;4
;;Serbia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;7,568;7,568;7,54;7,516;7,503;7,5;7,481;7,463;7,441;7,412;7,382;7,35;7,321;7,291;7,234;7,199;7,164;7,164;7,164;7,164;7,164;7,164;7,164;7,164
;;Seychelles;Gross domestic product, constant prices;Percent change;-2,253;-3,877;-2,071;-0,616;4,306;10,294;0,762;4,875;5,326;10,286;7,455;2,76;7,173;7,303;-2,437;0,485;9,998;12,194;2,467;1,872;4,253;-2,271;1,213;-5,887;-2,85;9,006;9,406;10,418;-2,141;-1,107;5,945;7,895;6,614;6,048;3,316;3,499;3,654;3,583;3,502;3,413;3,422
;;Seychelles;Population;Persons;0,063;0,064;0,064;0,064;0,065;0,065;0,066;0,068;0,069;0,069;0,07;0,07;0,071;0,072;0,074;0,075;0,076;0,077;0,079;0,08;0,081;0,081;0,083;0,083;0,082;0,083;0,085;0,085;0,087;0,087;0,09;0,091;0,092;0,093;0,094;0,095;0,096;0,097;0,098;0,099;0,101
;;Sierra Leone;Gross domestic product, constant prices;Percent change;-0,56;1,878;1,78;-1,576;1,7;-6,74;0,132;2,382;2,058;4,952;1,611;-0,925;-15,887;4,615;0,886;-3,42;-3,231;-14,118;3,472;-6,463;34,721;36,938;26,417;9,313;6,598;4,505;4,224;8,058;5,4;3,187;5,347;5,961;15,212;20,12;7,064;-23,923;-0,686;18,404;17,724;6,508;6,934
;;Sierra Leone;Population;Persons;3,329;3,411;3,482;3,564;3,585;3,656;3,738;3,819;3,901;3,993;4,043;4,053;4,032;3,991;3,952;3,927;3,92;3,928;3,962;4,03;4,14;4,296;4,493;4,713;4,928;5,12;5,281;5,416;5,532;5,641;5,752;5,865;5,979;6,104;6,232;6,319;6,439;6,561;6,686;6,813;6,894
;;Singapore;Gross domestic product, constant prices;Percent change;10,027;10,684;7,172;8,54;8,801;-0,687;1,328;10,757;11,115;10,183;10,044;6,687;7,088;11,537;10,925;7,028;7,532;8,291;-2,225;6,095;8,898;-0,952;4,212;4,435;9,549;7,489;8,86;9,112;1,788;-0,603;15,24;6,207;3,414;4,443;2,918;2,202;2,923;3,216;3,161;3,239;3,246
;;Singapore;Population;Persons;2,414;2,533;2,646;2,681;2,732;2,736;2,733;2,775;2,846;2,931;3,047;3,135;3,231;3,313;3,419;3,525;3,671;3,796;3,927;3,959;4,028;4,138;4,176;4,115;4,167;4,266;4,401;4,589;4,839;4,988;5,077;5,184;5,312;5,399;5,47;5,523;5,562;5,596;5,631;5,666;5,701
;;Slovak Republic;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6,206;7,872;6,941;4,445;3,994;-0,202;1,213;3,323;4,714;5,411;5,242;6,539;8,259;10,681;5,447;-5,29;4,827;2,704;1,602;1,425;2,41;3,163;3,629;3,55;3,26;3,148;3,148
;;Slovak Republic;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5,308;5,338;5,368;5,379;5,35;5,358;5,369;5,377;5,379;5,384;5,389;5,37;5,379;5,389;5,391;5,396;5,409;5,422;5,392;5,404;5,411;5,417;5,424;5,43;5,437;5,443;5,45;5,457
;;Slovenia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2,8;5,3;4,1;3,602;5,114;3,286;5,274;4,155;2,95;3,836;2,842;4,352;4,003;5,656;6,942;3,3;-7,797;1,238;0,649;-2,718;-1,058;3,048;2,318;1,808;1,965;1,995;2,004;1,979
;;Slovenia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2;1,99;1,99;1,99;1,987;1,985;1,978;1,978;1,988;1,99;1,994;1,995;1,996;1,998;2,003;2,01;2,01;2,032;2,047;2,05;2,055;2,059;2,061;2,063;2,066;2,068;2,07;2,072;2,075
;;Solomon Islands;Gross domestic product, constant prices;Percent change;-2,663;-1,797;-1,67;3,891;0,17;-3,132;-0,201;8,421;1,25;4,264;2,2;6;12,7;4;8,1;10,089;1,61;-0,914;1,292;-0,486;-14,277;-7,957;-2,8;6,523;8,089;12,853;3,993;6,389;7,106;-4,738;6,889;12,945;4,65;3,02;1,498;3,262;3,04;3,533;3,628;3,506;3,586
;;Solomon Islands;Population;Persons;0,231;0,238;0,247;0,255;0,263;0,271;0,279;0,287;0,295;0,303;0,312;0,321;0,33;0,339;0,349;0,359;0,369;0,38;0,39;0,401;0,412;0,424;0,435;0,446;0,458;0,469;0,481;0,492;0,504;0,515;0,526;0,538;0,55;0,562;0,575;0,588;0,601;0,614;0,627;0,641;0,655
;;South Africa;Gross domestic product, constant prices;Percent change;6,621;5,361;-0,383;-1,847;5,099;-1,211;0,018;2,101;4,2;2,395;-0,318;-1,018;-2,137;1,234;3,234;3,116;4,307;2,647;0,517;2,358;4,155;2,735;3,668;2,949;4,555;5,277;5,604;5,36;3,191;-1,538;3,04;3,212;2,22;2,212;1,525;1,397;1,344;2,113;2,506;2,594;2,6
;;South Africa;Population;Persons;29,08;29,83;30,61;31,41;32,21;32,98;33,73;34,46;35,19;35,96;36,79;37,69;38,65;39,62;40,56;41,43;42,2;42,91;43,56;44,2;44,85;45,51;45,546;46,127;46,728;47,349;47,992;48,657;49,344;50,056;50,792;51,553;52,342;53,157;54,002;54,86;55,733;56,618;57,518;58,433;59,362
;;South Sudan;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-52,429;29,329;2,918;-5,333;0,667;8,78;5,636;10,724;7,354
;;South Sudan;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;9,897;10,386;10,882;11,384;11,893;12,131;12,373;12,621;12,873;13,131
;;Spain;Gross domestic product, constant prices;Percent change;1,203;-0,408;1,239;1,652;1,698;2,362;3,432;5,709;5,285;5,004;3,847;2,525;0,851;-1,314;2,335;4,122;2,421;3,865;4,469;4,745;5,053;4,004;2,88;3,186;3,17;3,717;4,177;3,769;1,117;-3,575;0,017;-0,62;-2,09;-1,228;1,389;3,07;2,542;2,227;2,008;1,904;1,78
;;Spain;Population;Persons;37,387;37,742;37,944;38,122;38,274;38,409;38,52;38,61;38,692;38,769;38,837;38,94;39,069;39,19;39,296;39,388;39,479;39,583;39,722;39,927;40,264;40,721;41,424;42,196;42,859;43,663;44,361;45,236;45,983;46,368;46,562;46,736;46,766;46,593;46,464;46,393;46,326;46,26;46,194;46,129;46,062
;;Sri Lanka;Gross domestic product, constant prices;Percent change;5,847;5,345;5,233;3,314;6,725;4,957;4,281;1,454;2,698;2,25;6,174;10,821;-3,135;7,477;8,036;6,051;13,502;6,298;4,655;4,41;6,024;-1,545;0,295;5,94;5,445;6,242;7,668;6,797;5,95;3,539;8,016;8,246;6,341;7,3;7,4;6,5;6,5;6,5;6,5;6,5;6,5
;;Sri Lanka;Population;Persons;14,603;14,8;14,986;15,161;15,324;15,475;15,628;15,784;15,942;16,103;16,267;16,448;16,631;16,85;17,098;17,28;17,49;17,702;17,935;18,208;18,467;18,732;19,007;19,232;19,444;19,619;19,773;19,928;20,085;20,242;20,401;20,541;20,658;20,822;20,964;21,107;21,252;21,397;21,543;21,69;21,838
;;St. Kitts and Nevis;Gross domestic product, constant prices;Percent change;1,278;2,702;6,112;-2,058;9,651;6,437;8,842;8,268;10,353;6,013;5,454;2,27;3,077;5,418;5,404;3,462;5,897;7,327;1,024;3,943;6,49;5,283;1,167;-4,384;3,935;8,722;4,561;4,819;3,42;-3,773;-3,827;-1,883;-0,861;6,202;6,065;5,009;3,485;2,502;2,517;2,525;2,532
;;St. Kitts and Nevis;Population;Persons;0,044;0,045;0,045;0,045;0,044;0,043;0,043;0,042;0,042;0,042;0,042;0,042;0,042;0,041;0,041;0,041;0,041;0,041;0,04;0,042;0,044;0,046;0,047;0,048;0,049;0,05;0,051;0,052;0,053;0,054;0,055;0,056;0,057;0,058;0,06;0,061;0,062;0,063;0,065;0,066;0,067
;;St. Lucia;Gross domestic product, constant prices;Percent change;-0,51;5,105;2,114;4,059;8,01;12,59;15,155;4,075;14,269;9,208;7,759;0,377;8,033;0,31;1,594;1,697;2,898;-0,832;6,373;2,673;-0,567;-3,632;0,045;4,783;8,215;-0,787;8,223;0,621;2,793;-0,454;-1,717;0,702;-1,056;0,139;0,456;1,751;1,44;1,84;2,04;2,24;2,2
;;St. Lucia;Population;Persons;0,115;0,117;0,119;0,121;0,123;0,125;0,127;0,129;0,13;0,133;0,134;0,136;0,138;0,14;0,143;0,145;0,147;0,15;0,152;0,154;0,156;0,158;0,159;0,159;0,16;0,161;0,162;0,163;0,164;0,165;0,166;0,167;0,168;0,169;0,17;0,171;0,172;0,173;0,174;0,175;0,176
;;St. Vincent and the Grenadines;Gross domestic product, constant prices;Percent change;2,91;3,878;2,579;3,217;5,304;4,271;5,405;0,65;13,168;3,273;4,806;2,221;7,097;3,589;-1,165;6,798;1,06;3,741;4,459;2,107;1,805;1,661;6,127;7,344;4,609;3,025;6,007;3,023;-0,478;-2;-2,342;0,243;1,299;2,313;-0,244;2,144;2,473;2,841;3,011;3,025;3,04
;;St. Vincent and the Grenadines;Population;Persons;0,098;0,098;0,099;0,1;0,101;0,102;0,102;0,103;0,104;0,105;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,107;0,107;0,108;0,108;0,109;0,109;0,109;0,109;0,109;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,111
;;Sudan;Gross domestic product, constant prices;Percent change;2,5;6,32;4,127;-1,51;-5,626;-0,624;9,929;6,463;4,363;1,419;-1,7;9,909;-3,959;6,172;2,027;3,013;6,322;62,2;22,726;22,284;23,638;7,971;5,737;8,234;6,609;0,427;8,915;8,495;3,043;4,681;3,005;-1,255;-3,413;3,934;3,567;3,499;4,023;4,457;4,988;5,603;5,766
;;Sudan;Population;Persons;18,68;19,24;19,8;20,36;21,311;21,908;22,521;23,152;23,6;24,2;25,75;26,53;27,32;28,13;28,95;27,95;28,6;29,2;29,8;30,4;31,1;31,9;32,7;33,6;34,474;35,3;36,218;37,159;38,126;39,117;40,134;32,661;35,056;36,164;37,289;38,435;39,599;40,783;41,985;43,222;44,345
;;Suriname;Gross domestic product, constant prices;Percent change;-6,5;1,9;-6,3;-5,1;-3;-0,9;-2,4;-8,8;10,8;2,3;-1,5;-13,799;3,9;-2,2;-7;11,3;11,2;7;2,2;-0,9;-0,1;4,902;3,747;6,19;7,305;4,919;5,767;5,099;4,149;3,017;5,148;5,276;3,069;2,841;1,838;1,5;0,481;5,763;5,015;3,983;3
;;Suriname;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,408;0,414;0,419;0,426;0,431;0,437;0,442;0,449;0,454;0,461;0,467;0,474;0,479;0,484;0,493;0,499;0,504;0,51;0,517;0,524;0,531;0,54;0,542;0,547;0,553;0,558;0,563;0,568;0,573;0,577;0,582
;;Swaziland;Gross domestic product, constant prices;Percent change;-3,811;14,641;1,173;1,202;6,162;3,792;12,264;14,607;6,57;12,912;9,752;2,222;2,987;2,473;2,83;4,04;3,672;3,052;2,509;2,899;2,575;1,832;3,324;4,412;4,614;4,835;4,45;3,98;4,281;1,857;1,403;1,236;3,027;2,949;2,45;1,91;0,717;0,955;1,388;1,382;1,378
;;Swaziland;Population;Persons;0,631;0,649;0,668;0,687;0,708;0,731;0,756;0,783;0,81;0,837;0,863;0,887;0,908;0,926;0,944;0,963;0,985;1,007;1,029;1,048;1,064;1,075;1,082;1,088;1,095;1,105;1,118;1,02;1,031;1,043;1,054;1,067;1,08;1,093;1,106;1,119;1,132;1,147;1,162;1,177;1,192
;;Sweden;Gross domestic product, constant prices;Percent change;4,555;4,393;1,426;2,058;4,295;2,272;2,927;3,266;2,46;2,463;0,8;-1,027;-0,975;-1,958;4,088;4,024;1,518;2,9;4,227;4,53;4,735;1,563;2,074;2,386;4,321;2,818;4,688;3,405;-0,557;-5,185;5,989;2,664;-0,286;1,282;2,278;2,75;2,951;2,746;2,453;2,259;2,141
;;Sweden;Population;Persons;8,318;8,323;8,327;8,331;8,343;8,358;8,382;8,414;8,459;8,527;8,591;8,644;8,692;8,745;8,816;8,837;8,844;8,848;8,854;8,861;8,883;8,909;8,941;8,976;9,011;9,048;9,113;9,183;9,256;9,341;9,416;9,483;9,556;9,645;9,747;9,879;10,027;10,177;10,297;10,404;10,51
;;Switzerland;Gross domestic product, constant prices;Percent change;5,11;1,561;-1,476;0,697;3,092;3,688;1,86;1,518;3,291;4,376;3,699;-0,935;-0,133;-0,181;1,333;0,54;0,569;2,29;2,888;1,622;4,11;1,446;0,148;0,081;2,692;3,075;4,087;4,15;2,22;-2,122;2,889;1,891;1,097;1,805;1,869;0,995;1,298;1,5;1,9;1,9;1,9
;;Switzerland;Population;Persons;6,304;6,335;6,373;6,41;6,428;6,456;6,485;6,523;6,567;6,62;6,674;6,757;6,843;6,908;6,969;7,019;7,062;7,081;7,096;7,124;7,164;7,198;7,256;7,314;7,364;7,415;7,459;7,509;7,593;7,702;7,786;7,87;7,955;8,039;8,14;8,238;8,287;8,337;8,387;8,437;8,488
;;Syria;Gross domestic product, constant prices;Percent change;10,493;8,463;2,583;1,605;-6,498;7,296;-4,757;1,251;12,721;-6,067;10,358;10,727;13,246;7,409;5,534;5,423;2,966;-1,09;5,554;-3,121;2,295;3,68;5,897;-2,037;6,903;6,215;5,046;5,675;4,477;5,912;3,44;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
;;Syria;Population;Persons;9,129;9,444;9,758;10,084;10,419;10,776;11,133;11,511;11,899;12,298;12,721;13,102;13,484;13,865;14,241;14,61;14,973;15,334;15,702;16,091;16,511;16,961;17,438;17,952;18,512;19,121;19,596;20,083;20,581;21,092;21,393;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
;;Taiwan Province of China;Gross domestic product, constant prices;Percent change;7,324;-8,556;4,798;9,044;10,048;4,807;11,516;12,703;8,018;8,749;5,646;8,359;8,293;6,802;7,494;6,501;6,175;6,113;4,211;6,717;6,421;-1,26;5,575;4,121;6,506;5,416;5,623;6,517;0,704;-1,567;10,631;3,805;2,064;2,232;3,771;2,241;2,609;2,873;3,062;3,091;3,162
;;Taiwan Province of China;Population;Persons;17,866;18,194;18,516;18,791;19,069;19,314;19,509;19,725;19,954;20,157;20,401;20,606;20,803;20,995;21,178;21,357;21,525;21,743;21,929;22,092;22,277;22,406;22,521;22,605;22,689;22,77;22,877;22,958;23,037;23,12;23,162;23,225;23,316;23,374;23,434;23,494;23,555;23,615;23,676;23,737;23,798
;;Tajikistan;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-11,099;-21,401;-12,498;-4,368;1,7;5,3;3,699;8,3;10,2;9,1;10,2;10,6;6,7;7;7,8;7,9;3,9;6,5;7,4;7,5;7,4;6,7;3;3,4;4,1;5;5;5
;;Tajikistan;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5,536;5,573;5,607;5,668;5,735;5,822;5,939;6,127;6,25;6,376;6,507;6,64;6,78;6,92;7,064;7,216;7,374;7,53;7,616;7,801;7,964;8,132;8,302;8,477;8,655;8,836;9,022;9,211;9,405
;;Tanzania;Gross domestic product, constant prices;Percent change;3,266;0,5;0,6;2,4;3,4;4,6;6,6;5,9;4,4;3,8;7,045;2,072;0,584;1,206;1,567;3,571;4,544;3,525;3,708;4,84;4,934;5,998;6,899;6,358;7,211;6,455;4,661;8,464;5,567;5,382;6,359;7,905;5,141;7,263;6,965;6,869;7,035;6,974;6,878;6,883;6,922
;;Tanzania;Population;Persons;18,612;19,172;19,732;20,292;20,852;21,412;21,972;22,532;23,095;23,906;24,716;25,527;26,337;27,148;27,959;28,769;29,58;30,391;31,201;32,012;32,822;33,633;34,444;35,492;36,541;37,589;38,638;39,686;40,735;41,783;42,832;43,88;44,929;45,828;46,744;47,679;48,633;49,605;50,597;51,609;52,641
;;Thailand;Gross domestic product, constant prices;Percent change;4,601;5,91;5,353;5,581;5,76;4,643;5,534;9,519;13,288;12,194;11,623;8,403;9,23;8,675;7,997;8,12;5,652;-2,754;-7,634;4,572;4,456;3,444;6,149;7,189;6,289;4,188;4,968;5,435;1,726;-0,738;7,507;0,834;7,323;2,809;0,866;2,494;3,207;3,571;3,403;3,32;3,177
;;Thailand;Population;Persons;46,5;47,88;48,85;49,52;50,58;51,8;52,97;53,87;54,96;55,29;56,303;56,961;57,789;58,096;58,797;59,47;60,077;60,677;61,277;61,849;62,321;62,908;63,488;64,05;64,603;65,152;65,632;66,094;66,533;66,953;67,341;67,638;67,956;68,297;68,657;68,838;68,981;69,095;69,182;69,251;69,305
;;Timor-Leste;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;16,367;-6,646;-2,318;0,508;6,239;-5,714;11,448;14,199;12,963;9,368;9,529;6,354;2,757;4,5;4,25;5,002;5,5;6;6;6
;;Timor-Leste;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,823;0,897;0,909;0,922;0,936;0,952;0,97;0,989;1,01;1,034;1,06;1,089;1,12;1,156;1,193;1,231;1,27;1,309;1,348;1,388;1,43;1,473
;;Togo;Gross domestic product, constant prices;Percent change;-2,285;-3,419;-3,708;-5,156;5,881;3,717;3,26;-2,484;10,1;4,1;5,845;-0,59;-3,207;-16,319;13,93;19,691;-3,871;3,803;-2,263;2,536;-0,968;-1,303;-1,32;4,905;2,423;1,266;3,893;2,071;2,415;3,5;4,07;4,791;5,912;5,4;5;5,4;5,6;5,6;5,6;5,5;5,5
;;Togo;Population;Persons;2,379;2,45;2,846;2,949;3,055;3,161;3,267;3,373;3,476;3,574;3,666;3,748;3,823;3,898;3,983;4,085;4,209;4,349;4,5;4,651;4,794;4,926;5,051;5,17;5,288;5,408;5,53;5,835;5,987;6,144;6,306;6,472;6,643;6,818;6,998;7,182;7,372;7,566;7,765;7,97;8,18
;;Tonga;Gross domestic product, constant prices;Percent change;15,8;14;12,8;5,8;44,1;5,6;8,8;1,7;-3,5;1,1;4,7;5,9;-3,8;-0,1;1,979;4,487;0,001;-3,165;3,474;2,349;1,054;3,251;2,832;1,429;1,172;0,24;-2,814;-1,14;1,77;2,641;3,071;1,276;-1,069;-0,298;2,315;2,669;2,411;1,966;2,461;2,67;0,674
;;Tonga;Population;Persons;0,092;0,092;0,093;0,094;0,095;0,094;0,094;0,094;0,094;0,095;0,095;0,096;0,096;0,097;0,097;0,097;0,097;0,098;0,098;0,099;0,099;0,1;0,1;0,101;0,101;0,101;0,102;0,102;0,102;0,102;0,102;0,101;0,102;0,102;0,102;0,103;0,103;0,103;0,104;0,105;0,106
;;Trinidad and Tobago;Gross domestic product, constant prices;Percent change;10,4;4,217;3,808;-10,312;-5,752;-4,12;-3,281;-4,562;-3,918;-0,827;1,507;2,683;-1,647;-1,454;3,567;3,955;7,042;7,688;8,116;8,025;7,56;4,169;7,937;14,441;7,95;6,209;13,208;4,754;3,39;-4,391;-0,093;0,007;1,366;1,74;0,816;1,006;1,379;1,502;1,582;1,658;1,749
;;Trinidad and Tobago;Population;Persons;1,085;1,103;1,121;1,139;1,156;1,171;1,184;1,195;1,205;1,214;1,222;1,23;1,237;1,244;1,25;1,255;1,258;1,261;1,263;1,265;1,268;1,272;1,278;1,284;1,29;1,297;1,303;1,31;1,316;1,323;1,328;1,333;1,337;1,344;1,351;1,358;1,364;1,371;1,378;1,385;1,392
;;Tunisia;Gross domestic product, constant prices;Percent change;7,4;5,522;-0,482;4,674;5,731;5,668;-1,453;6,701;0,071;2,579;7,075;4,138;8,009;2,477;3,628;2,671;6,855;5,725;4,963;6,017;4,299;4,85;1,7;5,47;5,959;4;5,654;6,253;4,46;3,114;2,621;-1,919;3,745;2,257;2,3;1;3;4;4,6;5;4,698
;;Tunisia;Population;Persons;6,39;6,57;6,73;6,89;6,97;7,2;7,48;7,64;7,77;7,91;8,154;8,318;8,49;8,572;8,786;8,958;9,089;9,215;9,333;9,456;9,553;9,651;9,749;9,84;9,932;10,029;10,128;10,225;10,329;10,44;10,547;10,674;10,776;10,887;10,998;11,11;11,224;11,338;11,454;11,571;11,689
;;Turkey;Gross domestic product, constant prices;Percent change;-0,779;4,365;3,429;4,758;6,823;4,258;6,941;10,027;2,121;0,253;9,255;0,926;5,984;8,042;-5,456;7,19;7,007;7,528;3,092;-3,365;6,774;-5,697;6,164;5,265;9,363;8,402;6,893;4,669;0,659;-4,826;9,157;8,773;2,127;4,193;2,914;3,044;2,882;3,693;3,485;3,485;3,485
;;Turkey;Population;Persons;42,171;43,119;44,276;46,967;48,071;49,174;50,274;51,37;50,53;51,253;52,436;53,491;54,547;55,455;56,382;57,453;58,533;59,62;62,464;63,364;64,269;65,166;66,003;66,795;67,599;68,435;69,295;70,158;71,052;72,039;73,142;74,224;75,176;76,055;76,903;77,738;78,559;79,366;80,159;80,936;81,699
;;Turkmenistan;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-10;-17,3;-7,2;-6,7;-11,3;6,7;16,499;18,587;20,391;15,768;17,095;14,692;13,04;10,967;11,057;14,747;6,133;9,16;14,742;11,051;10,193;10,322;8,522;8,869;9,207;8,63;8,44;8,186
;;Turkmenistan;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3,861;3,9;4;4,1;4,2;4,658;4,483;4,564;4,643;4,72;4,794;4,867;4,945;5,024;5,104;5,186;5,269;5,353;5,439;5,526;5,614;5,704;5,796;5,888;5,982;6,078;6,175;6,274;6,375
;;Tuvalu;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,452;7,712;-3,101;-1,665;-4,106;2,87;6,352;7,982;-4,435;-2,735;8,452;0,183;1,292;2,236;3,487;3,957;1,908;1,97;1,839;1,638
;;Tuvalu;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,009;0,009;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,011;0,011;0,011;0,011;0,011;0,011;0,011;0,011;0,011;0,011
;;Uganda;Gross domestic product, constant prices;Percent change;-3,392;3,859;8,205;4,899;-3;-3;0,946;4;8,294;6,403;6,497;1,778;2,78;8,242;6,427;11,293;9,102;5,472;3,808;8,159;5,437;8,765;7,057;6,159;5,803;10,007;7,049;8,064;10,428;8,069;7,666;6,821;2,628;3,89;4,775;5,195;5,457;5,806;6,077;6,211;6,448
;;Uganda;Population;Persons;12,544;12,927;13,321;13,736;14,182;14,665;15,192;15,755;16,347;16,958;17,576;18,2;18,8;19,4;20,1;20,7;21,4;22,1;22,8;23,5;24,3;25,1;25,9;26,8;27,8;28,7;29,7;30,7;31,8;32,9;34;35,1;36,3;37,6;38,728;39,89;41,087;42,319;43,589;44,896;46,243
;;Ukraine;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-14,799;-22,766;-12,142;-9,851;-3,175;-1,815;-0,203;5,932;9,227;5,34;9,517;11,795;3,071;7,571;8,216;2,243;-15,136;0,261;5,466;0,239;-0,027;-6,83;-9,048;1,965;3,495;3,965;3,988;4,042
;;Ukraine;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;51,87;51,715;51,3;50,874;50,4;49,974;49,545;49,115;48,664;48,241;47,823;47,442;47,101;46,749;46,466;46,192;45,963;45,783;45,598;45,453;45,246;40,489;42,831;42,741;42,652;42,562;42,473;42,384;42,295
;;United Arab Emirates;Gross domestic product, constant prices;Percent change;-1,78;8,024;-7,188;-5,25;4,451;-2,522;-19,269;5,304;-2,623;15,733;23,562;2,141;3,095;-0,029;7,363;6,58;5,34;8,553;0,791;3,751;12,329;1,849;2,433;8,801;9,567;4,855;9,837;3,184;3,192;-5,243;1,635;4,885;7,222;4,321;4,57;2,998;3,134;3,257;3,455;3,641;3,818
;;United Arab Emirates;Population;Persons;1,01;1,1;1,17;1,21;1,31;1,38;1,44;1,5;1,79;1,86;1,844;1,928;2,011;2,083;2,23;2,411;2,443;2,58;2,834;3,033;2,995;3,167;3,349;3,551;3,761;4,106;5,012;6,219;8,074;8,2;8,264;8,512;8,768;9,031;9,302;9,581;9,856;10,139;10,43;10,749;11,077
